year,Overall,Men,Women
1951,3.3,,
1952,3.0,,
1953,2.9,,
1954,5.5,,
1955,4.4,,
1956,4.1,,
1957,4.3,,
1958,6.8,,
1959,5.5,,
1960,5.5,,
1961,6.7,,
1962,5.5,,
1963,5.7,,
1964,5.2,,
1965,4.5,,
1966,3.8,,
1967,3.8,,
1968,3.6,,
1969,3.5,,
1970,4.9,,
1971,5.9,,
1972,5.6,,
1973,4.9,,
1974,5.6,,
1975,8.5,,
1976,7.7,,
1977,7.1,,
1978,6.1,,
1979,5.8,,
1980,7.1,,
1981,7.6,7.4,7.9
1982,9.7,9.9,9.4
1983,9.6,9.9,9.2
1984,7.5,7.4,7.6
1985,7.2,7.0,7.4
1986,7.0,6.9,7.1
1987,6.2,6.2,6.2
1988,5.5,5.5,5.6
1989,5.3,5.2,5.4
1990,5.6,5.7,5.5
1991,6.8,7.2,6.4
1992,7.5,7.9,7.0
1993,6.9,7.2,6.6
1994,6.1,6.2,6.0
1995,5.6,5.6,5.6
1996,5.4,5.4,5.4
1997,4.9,4.9,5.0
1998,4.5,4.4,4.6
1999,4.2,4.1,4.3
2000,4.0,3.9,4.1
2001,4.7,4.8,4.7
2002,5.8,5.9,5.6
2003,6.0,6.3,5.7
2004,5.5,5.6,5.4
2005,5.1,5.1,5.1
2006,4.6,4.6,4.6
2007,4.6,4.7,4.5
2008,5.8,6.1,5.4
2009,9.3,10.3,8.1
2010,9.6,10.5,8.6
2011,8.9,9.4,8.5
2012,8.1,8.2,7.9
2013,7.4,7.6,7.1
2014,6.2,6.3,6.1
2015,5.3,5.4,5.2
2016,4.9,4.9,4.8
2017,4.4,4.4,4.3
2018,3.9,3.9,3.8
2019,3.7,3.7,3.6
2020,8.1,7.8,8.3
2021,5.3,5.5,5.2
